과목번호,문항,정답,배점
1,1,4,2
1,2,2,2
1,3,1,3
1,4,5,3
1,5,5,3
1,6,1,3
1,7,4,3
1,8,3,3
1,9,4,4
1,10,3,4
1,11,2,4
1,12,2,4
1,13,3,4
1,14,4,4
1,15,1,4
1,16,40,3
1,17,6,3
1,18,3,3
1,19,25,3
1,20,22,4
1,21,12,4
1,22,50,4
1,23,1,2
1,24,4,3
1,25,2,3
1,26,5,3
1,27,3,3
1,28,5,4
1,29,14,4
1,30,124,4
2,1,4,2
2,2,2,2
2,3,1,3
2,4,5,3
2,5,5,3
2,6,1,3
2,7,4,3
2,8,3,3
2,9,4,4
2,10,3,4
2,11,2,4
2,12,2,4
2,13,3,4
2,14,4,4
2,15,1,4
2,16,40,3
2,17,6,3
2,18,3,3
2,19,25,3
2,20,22,4
2,21,12,4
2,22,50,4
2,23,4,2
2,24,3,3
2,25,5,3
2,26,1,3
2,27,2,3
2,28,3,4
2,29,9,4
2,30,20,4
3,1,4,2
3,2,2,2
3,3,1,3
3,4,5,3
3,5,5,3
3,6,1,3
3,7,4,3
3,8,3,3
3,9,4,4
3,10,3,4
3,11,2,4
3,12,2,4
3,13,3,4
3,14,4,4
3,15,1,4
3,16,40,3
3,17,6,3
3,18,3,3
3,19,25,3
3,20,22,4
3,21,12,4
3,22,50,4
3,23,1,2
3,24,3,3
3,25,2,3
3,26,5,3
3,27,4,3
3,28,5,4
3,29,4,4
3,30,96,4
