과목번호,문항,정답,배점
11,1,1,2
11,2,5,2
11,3,2,3
11,4,1,2
11,5,5,3
11,6,4,2
11,7,2,2
11,8,4,3
11,9,5,3
11,10,2,3
11,11,5,3
11,12,3,2
11,13,5,2
11,14,1,3
11,15,1,3
11,16,3,2
11,17,3,2
11,18,2,2
11,19,4,3
11,20,3,3
12,1,5,2
12,2,4,3
12,3,5,2
12,4,2,3
12,5,4,3
12,6,2,2
12,7,1,3
12,8,3,2
12,9,2,2
12,10,5,3
12,11,5,3
12,12,3,2
12,13,1,2
12,14,3,3
12,15,1,2
12,16,1,2
12,17,4,2
12,18,2,3
12,19,3,3
12,20,4,3
13,1,4,2
13,2,2,2
13,3,3,3
13,4,5,2
13,5,3,3
13,6,3,3
13,7,1,2
13,8,5,2
13,9,4,2
13,10,4,3
13,11,2,3
13,12,1,2
13,13,2,2
13,14,5,3
13,15,2,3
13,16,4,3
13,17,4,3
13,18,2,2
13,19,4,3
13,20,3,2
14,1,3,2
14,2,1,3
14,3,2,3
14,4,2,2
14,5,1,2
14,6,2,3
14,7,3,2
14,8,1,3
14,9,1,2
14,10,2,2
14,11,4,3
14,12,4,2
14,13,4,2
14,14,3,3
14,15,5,3
14,16,4,3
14,17,2,2
14,18,5,3
14,19,5,3
14,20,4,2
15,1,2,2
15,2,5,3
15,3,5,3
15,4,1,2
15,5,5,2
15,6,4,2
15,7,2,3
15,8,1,2
15,9,4,2
15,10,1,3
15,11,3,2
15,12,5,2
15,13,4,3
15,14,3,3
15,15,5,3
15,16,4,3
15,17,1,3
15,18,4,2
15,19,5,2
15,20,2,3
16,1,2,2
16,2,1,2
16,3,2,2
16,4,4,3
16,5,5,3
16,6,5,2
16,7,5,3
16,8,5,2
16,9,2,3
16,10,3,2
16,11,3,2
16,12,1,3
16,13,2,3
16,14,4,2
16,15,5,3
16,16,4,3
16,17,5,3
16,18,2,2
16,19,5,3
16,20,3,2
17,1,4,2
17,2,1,2
17,3,5,3
17,4,3,3
17,5,5,3
17,6,2,2
17,7,2,2
17,8,3,2
17,9,5,3
17,10,5,3
17,11,4,2
17,12,3,2
17,13,2,3
17,14,4,2
17,15,4,3
17,16,3,3
17,17,3,2
17,18,4,3
17,19,1,2
17,20,5,3
18,1,3,2
18,2,2,2
18,3,5,3
18,4,4,2
18,5,3,3
18,6,5,2
18,7,4,3
18,8,3,2
18,9,3,3
18,10,5,3
18,11,1,2
18,12,1,2
18,13,5,3
18,14,4,3
18,15,3,2
18,16,1,3
18,17,5,2
18,18,5,2
18,19,4,3
18,20,5,3
19,1,3,2
19,2,2,2
19,3,3,2
19,4,5,3
19,5,2,3
19,6,5,2
19,7,1,2
19,8,3,3
19,9,2,3
19,10,4,3
19,11,1,3
19,12,5,2
19,13,4,2
19,14,3,3
19,15,4,3
19,16,1,2
19,17,4,3
19,18,5,2
19,19,1,2
19,20,2,3
20,1,1,2
20,2,2,2
20,3,1,2
20,4,5,2
20,5,5,3
20,6,4,3
20,7,3,2
20,8,4,2
20,9,1,3
20,10,2,3
20,11,3,3
20,12,4,2
20,13,3,3
20,14,5,2
20,15,2,2
20,16,3,3
20,17,3,3
20,18,4,3
20,19,5,3
20,20,1,2
21,1,3,2
21,2,5,2
21,3,2,2
21,4,4,3
21,5,3,3
21,6,1,2
21,7,1,2
21,8,5,3
21,9,2,2
21,10,5,3
21,11,4,2
21,12,5,3
21,13,3,2
21,14,1,3
21,15,4,2
21,16,1,3
21,17,3,2
21,18,3,3
21,19,2,3
21,20,5,3
22,1,5,2
22,2,2,3
22,3,5,2
22,4,4,3
22,5,3,3
22,6,1,2
22,7,4,2
22,8,5,2
22,9,2,3
22,10,1,2
22,11,2,3
22,12,2,3
22,13,1,3
22,14,3,2
22,15,4,2
22,16,2,3
22,17,1,2
22,18,5,2
22,19,4,3
22,20,3,3
23,1,2,2
23,2,5,2
23,3,1,2
23,4,1,3
23,5,4,2
23,6,3,2
23,7,2,3
23,8,3,2
23,9,5,2
23,10,2,3
23,11,1,3
23,12,4,2
23,13,5,2
23,14,3,3
23,15,4,3
23,16,5,3
23,17,2,2
23,18,5,3
23,19,3,3
23,20,1,3
24,1,1,2
24,2,3,2
24,3,4,3
24,4,3,3
24,5,2,2
24,6,1,2
24,7,1,2
24,8,4,3
24,9,3,3
24,10,5,3
24,11,1,2
24,12,2,2
24,13,5,3
24,14,4,3
24,15,2,2
24,16,5,3
24,17,4,2
24,18,5,2
24,19,3,3
24,20,3,3
25,1,3,2
25,2,5,2
25,3,5,2
25,4,1,2
25,5,2,3
25,6,5,3
25,7,4,2
25,8,3,3
25,9,1,2
25,10,4,3
25,11,2,3
25,12,5,2
25,13,2,2
25,14,4,3
25,15,3,3
25,16,3,2
25,17,4,3
25,18,2,2
25,19,5,3
25,20,1,3
26,1,3,3
26,2,5,2
26,3,1,3
26,4,5,2
26,5,3,2
26,6,5,2
26,7,4,2
26,8,3,2
26,9,4,3
26,10,2,3
26,11,5,2
26,12,3,3
26,13,2,3
26,14,1,2
26,15,2,2
26,16,2,3
26,17,1,3
26,18,5,3
26,19,1,2
26,20,4,3
27,1,3,2
27,2,2,2
27,3,5,3
27,4,1,2
27,5,3,3
27,6,3,3
27,7,4,2
27,8,2,3
27,9,1,3
27,10,1,2
27,11,3,2
27,12,5,2
27,13,4,3
27,14,4,2
27,15,5,3
27,16,2,2
27,17,1,2
27,18,4,3
27,19,5,3
27,20,5,3
