수험번호,과목코드,총점,만점,정답수,오답번호
251008.0,1.0,76,100,35/45,"4, 12, 15, 16, 17, 25, 27, 39, 40, 44"
251009.0,2.0,82,100,37/45,"10, 12, 15, 27, 32, 37, 38, 39"
251011.0,2.0,85,100,39/45,"8, 15, 17, 24, 28, 38"
251015.0,1.0,70,100,32/45,"4, 7, 11, 12, 15, 16, 17, 20, 24, 25, 38, 40, 44"
251021.0,1.0,73,100,34/45,"3, 8, 10, 11, 12, 15, 16, 17, 21, 26, 27"
251023.0,2.0,77,100,35/45,"4, 8, 11, 12, 14, 16, 17, 26, 36, 39"
251035.0,1.0,84,100,38/45,"12, 15, 20, 24, 25, 26, 28"
251046.0,1.0,91,100,41/45,"8, 15, 16, 27"
251055.0,2.0,72,100,33/45,"2, 3, 5, 8, 15, 16, 17, 22, 25, 27, 36, 45"
251063.0,1.0,86,100,39/45,"16, 17, 22, 28, 37, 45"
251071.0,1.0,47,100,22/45,"2, 3, 4, 5, 6, 7, 8, 10, 12, 15, 18, 20, 21, 22, 24, 26, 27, 34, 35, 36, 40, 44, 45"
251074.0,1.0,76,100,36/45,"8, 12, 17, 21, 24, 25, 28, 29, 40"
251077.0,1.0,98,100,44/45,15
251080.0,2.0,87,100,40/45,"12, 24, 30, 38, 44"
251107.0,1.0,74,100,34/45,"3, 10, 11, 12, 14, 16, 17, 22, 31, 34, 43"
251109.0,1.0,67,100,31/45,"5, 7, 8, 10, 11, 12, 14, 15, 16, 17, 20, 21, 24, 25"
251114.0,1.0,93,100,42/45,"12, 16, 38"
251119.0,1.0,73,100,33/45,"4, 6, 8, 10, 14, 16, 17, 28, 29, 30, 31, 39"
251124.0,2.0,70,100,32/45,"11, 12, 14, 15, 16, 17, 21, 23, 27, 33, 38, 39, 45"
251126.0,2.0,84,100,38/45,"8, 14, 15, 16, 17, 27, 40"
251145.0,1.0,57,100,26/45,"5, 7, 8, 10, 11, 15, 16, 17, 20, 21, 23, 24, 25, 26, 27, 31, 32, 33, 45"
251146.0,1.0,79,100,36/45,"10, 11, 12, 15, 23, 26, 29, 30, 40"
251155.0,1.0,74,100,35/45,"3, 4, 8, 11, 12, 21, 34, 36, 44, 45"
251175.0,1.0,80,100,37/45,"3, 5, 15, 16, 17, 21, 27, 40"
251178.0,2.0,87,100,39/45,"16, 18, 20, 21, 39, 40"
251182.0,1.0,67,100,32/45,"3, 4, 7, 8, 11, 12, 14, 16, 17, 25, 36, 40, 45"
251184.0,2.0,71,100,32/45,"7, 8, 12, 14, 15, 16, 17, 18, 23, 26, 27, 37, 42"
251186.0,2.0,79,100,36/45,"8, 12, 14, 15, 16, 17, 28, 31, 37"
251191.0,1.0,72,100,33/45,"2, 8, 15, 17, 22, 25, 26, 27, 28, 36, 39, 40"
251193.0,1.0,66,100,31/45,"4, 8, 11, 12, 14, 15, 16, 17, 25, 26, 27, 34, 35, 40"
251197.0,2.0,81,100,37/45,"11, 12, 15, 17, 24, 25, 35, 39"
251206.0,1.0,72,100,33/45,"4, 6, 8, 11, 12, 15, 16, 17, 22, 24, 28, 45"
251207.0,1.0,76,100,34/45,"6, 8, 11, 15, 16, 20, 24, 25, 26, 27, 28"
251211.0,2.0,87,100,39/45,"11, 15, 16, 17, 22, 36"
251214.0,2.0,81,100,37/45,"5, 6, 8, 16, 21, 25, 26, 27"
251215.0,1.0,80,100,36/45,"4, 11, 12, 14, 16, 17, 22, 27, 32"
251216.0,2.0,83,100,38/45,"8, 11, 27, 34, 35, 38, 39"
251217.0,2.0,80,100,36/45,"4, 11, 12, 16, 27, 33, 35, 38, 45"
251222.0,2.0,77,100,35/45,"3, 11, 15, 16, 17, 25, 27, 28, 40, 45"
251225.0,2.0,82,100,38/45,"7, 8, 12, 15, 16, 17, 34"
251228.0,1.0,46,100,22/45,"2, 3, 5, 7, 8, 10, 11, 12, 14, 15, 16, 17, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 40"
251230.0,2.0,78,100,36/45,"6, 12, 14, 16, 17, 25, 27, 38, 40"
251232.0,1.0,74,100,34/45,"8, 11, 12, 14, 15, 17, 19, 24, 25, 36, 44"
251236.0,1.0,73,100,34/45,"8, 12, 15, 16, 17, 22, 24, 25, 27, 28, 45"
251237.0,2.0,62,100,29/45,"2, 3, 6, 8, 11, 12, 14, 15, 16, 17, 20, 25, 36, 38, 39, 45"
251238.0,1.0,72,100,33/45,"3, 4, 5, 11, 12, 14, 15, 16, 17, 26, 28, 40"
251242.0,2.0,77,100,35/45,"8, 15, 21, 22, 24, 27, 31, 33, 34, 40"
251244.0,1.0,85,100,39/45,"4, 6, 8, 15, 17, 40"
251247.0,1.0,77,100,36/45,"3, 8, 12, 15, 17, 20, 26, 34, 36"
251248.0,1.0,67,100,30/45,"4, 6, 10, 11, 15, 16, 17, 27, 29, 30, 31, 32, 33, 34, 36"
251253.0,2.0,76,100,35/45,"7, 8, 12, 16, 21, 23, 24, 25, 27, 37"
251259.0,1.0,92,100,41/45,"16, 24, 36, 39"
251260.0,1.0,64,100,29/45,"5, 7, 8, 10, 11, 15, 16, 17, 21, 24, 27, 31, 32, 40, 43, 44"
251261.0,1.0,88,100,40/45,"4, 12, 16, 17, 29"
251263.0,2.0,92,100,42/45,"17, 27, 38"
251268.0,2.0,62,100,28/45,"4, 5, 6, 8, 10, 14, 16, 17, 20, 21, 24, 27, 28, 35, 38, 39, 40"
251269.0,1.0,66,100,30/45,"3, 5, 10, 11, 12, 14, 15, 17, 23, 27, 29, 33, 40, 42, 43"
251270.0,2.0,79,100,36/45,"4, 8, 11, 12, 16, 17, 24, 32, 39"
251272.0,1.0,65,100,30/45,"4, 6, 7, 8, 11, 12, 16, 17, 19, 22, 28, 30, 33, 37, 40"
251274.0,1.0,77,100,35/45,"2, 15, 16, 17, 20, 27, 30, 36, 40, 44"
251276.0,2.0,73,100,33/45,"4, 6, 8, 10, 11, 15, 17, 22, 30, 32, 35, 36"
251277.0,2.0,88,100,40/45,"12, 15, 25, 35, 40"
251282.0,1.0,74,100,34/45,"3, 7, 10, 11, 12, 15, 16, 17, 22, 34, 36"
251283.0,1.0,60,100,27/45,"4, 11, 18, 19, 20, 21, 22, 25, 27, 28, 35, 36, 40, 41, 42, 43, 44, 45"
