수험번호,과목코드,총점,만점,정답수,오답번호
250456,1,95,100,43/45,"37, 38"
251008,1,78,100,36/45,"24, 29, 34, 35, 36, 37, 38, 39, 40"
251009,1,76,100,35/45,"23, 24, 30, 31, 32, 33, 34, 36, 37, 38"
251011,1,90,100,41/45,"23, 24, 39, 44"
251015,1,89,100,41/45,"21, 33, 35, 39"
251023,1,94,100,43/45,"21, 37"
251035,1,98,100,44/45,40
251046,1,88,100,40/45,"31, 32, 36, 37, 39"
251055,1,81,100,37/45,"21, 23, 27, 34, 36, 38, 40, 41"
251072,1,77,100,36/45,"21, 29, 31, 32, 33, 34, 36, 39, 40"
251074,1,75,100,35/45,"29, 30, 31, 32, 33, 34, 36, 37, 39, 40"
251077,1,80,100,37/45,"5, 33, 34, 36, 37, 39, 40, 43"
251080,1,80,100,37/45,"31, 32, 33, 34, 35, 37, 39, 41"
251100,1,84,100,39/45,"3, 21, 31, 33, 34, 39"
251107,1,70,100,33/45,"11, 21, 29, 31, 32, 33, 34, 36, 37, 38, 40, 41"
251109,1,75,100,35/45,"21, 23, 24, 29, 31, 33, 36, 37, 38, 40"
251114,1,92,100,42/45,"23, 39, 40"
251119,1,72,100,33/45,"5, 6, 7, 12, 21, 31, 32, 33, 34, 35, 37, 38"
251124,1,78,100,36/45,"1, 5, 23, 29, 31, 33, 35, 37, 38"
251145,1,0,100,0/45,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45"
251146,1,88,100,40/45,"17, 21, 32, 37, 41"
251152,1,82,100,38/45,"29, 30, 31, 32, 33, 34, 37"
251155,1,74,100,34/45,"1, 5, 23, 31, 32, 33, 36, 37, 38, 39, 40"
251175,1,71,100,34/45,"11, 21, 23, 31, 32, 33, 34, 36, 37, 38, 39"
251178,1,88,100,40/45,"31, 34, 35, 36, 39"
251182,1,71,100,33/45,"5, 21, 24, 30, 32, 33, 34, 35, 36, 37, 39, 40"
251184,1,81,100,38/45,"5, 21, 23, 31, 33, 37, 39"
251186,1,87,100,40/45,"16, 21, 32, 33, 34"
251191,1,73,100,34/45,"5, 21, 23, 26, 31, 34, 35, 36, 37, 39, 41"
251193,1,89,100,41/45,"21, 33, 37, 38"
251197,1,90,100,41/45,"6, 12, 34, 39"
251206,1,85,100,39/45,"24, 29, 33, 36, 37, 40"
251207,1,87,100,40/45,"21, 34, 36, 37, 38"
251211,1,75,100,35/45,"6, 21, 23, 30, 31, 33, 35, 36, 37, 39"
251214,1,77,100,36/45,"21, 31, 32, 33, 34, 37, 39, 40, 42"
251215,1,86,100,39/45,"5, 24, 33, 39, 40, 41"
251216,1,81,100,38/45,"5, 23, 33, 34, 37, 38, 39"
251217,1,83,100,38/45,"21, 24, 31, 32, 35, 37, 39"
251222,1,74,100,34/45,"6, 21, 24, 29, 30, 32, 33, 35, 38, 39, 40"
251225,1,87,100,40/45,"21, 31, 32, 33, 39"
251228,1,95,100,43/45,"34, 42"
251230,1,81,100,37/45,"7, 29, 31, 32, 34, 36, 37, 38"
