수험번호,과목코드,총점,만점,정답수,오답번호
251008,1,33,50,13/20,"2, 3, 4, 5, 8, 14, 20"
251009,1,25,50,10월 20일,"3, 4, 6, 8, 12, 14, 16, 18, 19, 20"
251011,1,14,50,5월 20일,"1, 2, 3, 4, 5, 6, 8, 11, 13, 14, 15, 16, 17, 19, 20"
251015,1,29,50,11월 20일,"2, 3, 5, 6, 7, 8, 12, 17, 20"
251023,1,35,50,14/20,"2, 3, 4, 8, 10, 16"
251035,1,30,50,12월 20일,"2, 4, 6, 8, 14, 15, 16, 20"
251046,1,39,50,16/20,"5, 8, 16, 19"
251055,1,19,50,7월 20일,"1, 2, 4, 5, 8, 10, 11, 13, 16, 17, 18, 19, 20"
251072,1,17,50,7월 20일,"3, 4, 5, 8, 9, 10, 11, 13, 14, 16, 17, 19, 20"
251074,1,23,50,10월 20일,"2, 4, 8, 9, 10, 12, 14, 16, 19, 20"
251077,1,30,50,13/20,"4, 9, 10, 12, 16, 19, 20"
251080,1,34,50,14/20,"5, 8, 9, 14, 16, 20"
251100,1,39,50,16/20,"12, 15, 16, 20"
251107,1,19,50,8월 20일,"2, 3, 4, 9, 12, 13, 14, 15, 16, 18, 19, 20"
251109,1,17,50,7월 20일,"1, 2, 3, 4, 5, 8, 9, 11, 12, 14, 16, 19, 20"
251114,1,36,50,14/20,"2, 6, 8, 16, 19, 20"
251119,1,25,50,10월 20일,"2, 3, 4, 11, 12, 13, 15, 16, 19, 20"
251124,1,25,50,10월 20일,"3, 6, 8, 9, 10, 13, 14, 16, 19, 20"
251145,1,33,50,13/20,"2, 3, 4, 5, 8, 12, 20"
251146,1,16,50,7월 20일,"1, 2, 4, 5, 6, 7, 8, 9, 10, 14, 16, 19, 20"
251152,1,27,50,11월 20일,"1, 3, 8, 9, 10, 11, 14, 15, 16"
251155,1,23,50,10월 20일,"3, 4, 5, 8, 12, 14, 15, 16, 19, 20"
251175,1,20,50,8월 20일,"2, 3, 4, 5, 8, 9, 11, 13, 15, 16, 17, 19"
251178,1,24,50,10월 20일,"2, 3, 5, 9, 12, 13, 14, 16, 19, 20"
251182,1,18,50,8월 20일,"2, 3, 4, 5, 7, 8, 9, 10, 12, 16, 19, 20"
251184,1,40,50,16/20,"3, 8, 16, 19"
251186,1,46,50,18/20,"8, 20"
251193,1,23,50,9월 20일,"2, 3, 12, 13, 14, 15, 16, 17, 18, 19, 20"
251206,1,37,50,15/20,"6, 8, 9, 14, 19"
251207,1,17,50,7월 20일,"2, 3, 4, 5, 6, 8, 9, 10, 12, 16, 17, 18, 19"
251211,1,35,50,14/20,"2, 3, 8, 12, 14, 16"
251214,1,28,50,12월 20일,"2, 4, 5, 8, 10, 14, 15, 19"
251215,1,29,50,12월 20일,"2, 4, 7, 9, 10, 14, 18, 20"
251216,1,23,50,9월 20일,"3, 4, 5, 6, 8, 11, 14, 16, 18, 19, 20"
251217,1,18,50,7월 20일,"1, 2, 3, 4, 5, 8, 10, 12, 13, 14, 17, 19, 20"
251222,1,23,50,9월 20일,"1, 2, 5, 6, 9, 11, 14, 16, 17, 19, 20"
251225,1,34,50,14/20,"2, 8, 10, 12, 14, 16"
251228,1,36,50,15/20,"4, 9, 15, 16, 20"
251230,1,32,50,13/20,"5, 8, 12, 14, 16, 18, 20"
251232,1,39,50,16/20,"8, 10, 14, 16"
251236,1,39,50,15/20,"3, 8, 11, 14, 20"
251238,1,23,50,9월 20일,"2, 3, 4, 5, 7, 8, 9, 10, 17, 18, 20"
251242,1,20,50,8월 20일,"2, 3, 4, 5, 6, 8, 9, 10, 16, 17, 19, 20"
251244,1,23,50,9월 20일,"2, 3, 4, 8, 9, 10, 16, 17, 18, 19, 20"
251247,1,18,50,7월 20일,"2, 3, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16, 20"
251248,1,30,50,12월 20일,"3, 4, 8, 10, 14, 15, 17, 20"
251253,1,28,50,12월 20일,"4, 5, 8, 10, 14, 16, 19, 20"
251259,1,30,50,13/20,"5, 8, 9, 10, 12, 14, 16"
251261,1,32,50,13/20,"3, 5, 8, 12, 14, 16, 20"
251263,1,27,50,11월 20일,"2, 3, 4, 5, 8, 14, 16, 19, 20"
251268,1,25,50,10월 20일,"1, 3, 4, 8, 14, 15, 16, 17, 19, 20"
251269,1,16,50,7월 20일,"2, 3, 4, 5, 8, 10, 12, 14, 15, 16, 17, 19, 20"
251270,1,22,50,9월 20일,"1, 2, 5, 7, 8, 9, 10, 14, 16, 17, 20"
251272,1,17,50,7월 20일,"4, 5, 6, 8, 10, 11, 13, 14, 15, 16, 17, 19, 20"
251274,1,12,50,5월 20일,"1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 14, 16, 17, 19, 20"
251277,1,38,50,15/20,"2, 8, 14, 19, 20"
251282,1,24,50,10월 20일,"2, 3, 4, 5, 8, 9, 12, 16, 19, 20"
