수험번호,과목코드,총점,만점,정답수,오답번호
151263,19,47,50,19/20,15
151263,22,43,50,17/20,"15, 16, 17"
251008,11,47,50,19/20,11
251008,19,44,50,18/20,"9, 15"
251009,21,42,50,17/20,"17, 19, 20"
251009,26,37,50,15/20,"8, 13, 17, 18, 19"
251011,18,50,50,20/20,없음
251011,19,41,50,17/20,"14, 15, 20"
251015,13,50,50,20/20,없음
251015,19,47,50,19/20,14
251021,11,40,50,16/20,"5, 6, 8, 12"
251021,19,38,50,16/20,"9, 11, 14, 20"
251023,22,45,50,18/20,"12, 17"
251023,23,35,50,15/20,"14, 15, 18, 19, 20"
251035,22,45,50,18/20,"8, 19"
251035,23,47,50,19/20,14
251046,15,35,50,14/20,"3, 7, 8, 9, 15, 19"
251046,19,44,50,18/20,"9, 10"
251055,18,43,50,17/20,"7, 12, 15"
251055,19,42,50,17/20,"2, 8, 15"
251060,11,50,50,20/20,없음
251060,19,38,50,16/20,"4, 11, 15, 20"
251072,19,32,50,14/20,"8, 9, 10, 11, 15, 17"
251072,22,14,50,5월 20일,"1, 2, 3, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20"
251074,11,47,50,19/20,11
251074,12,50,50,20/20,없음
251077,14,48,50,19/20,13
251077,19,41,50,17/20,"14, 15, 20"
251100,22,45,50,18/20,"16, 17"
251100,23,47,50,19/20,18
251107,11,45,50,18/20,"5, 12"
251107,19,44,50,18/20,"10, 20"
251109,11,38,50,15/20,"4, 5, 6, 9, 12"
251109,19,27,50,12월 20일,"8, 9, 10, 11, 15, 17, 19, 20"
251114,22,44,50,18/20,"12, 19"
251114,23,50,50,20/20,없음
251119,19,42,50,17/20,"14, 15, 19"
251119,23,46,50,18/20,"5, 17"
251124,14,48,50,19/20,5
251124,19,44,50,18/20,"8, 20"
251145,18,41,50,17/20,"3, 9, 13"
251145,19,42,50,17/20,"7, 8, 20"
251146,19,42,50,17/20,"14, 19, 20"
251146,22,36,50,15/20,"9, 12, 16, 17, 19"
251152,22,47,50,19/20,19
251152,23,40,50,16/20,"13, 14, 17, 20"
251155,11,47,50,19/20,11
251155,19,41,50,17/20,"9, 14, 20"
251175,19,30,50,13/20,"5, 8, 9, 10, 11, 15, 18"
251175,22,39,50,16/20,"9, 12, 16, 17"
251178,22,45,50,18/20,"16, 17"
251178,23,34,50,14/20,"11, 13, 17, 18, 19, 20"
251182,11,35,50,14/20,"2, 4, 5, 9, 14, 16"
251182,19,30,50,12월 20일,"1, 3, 6, 10, 14, 15, 18, 20"
251184,15,42,50,17/20,"7, 9, 15"
251184,16,50,50,20/20,없음
251186,15,40,50,16/20,"7, 9, 15, 19"
251186,18,45,50,18/20,"9, 15"
251193,13,44,50,18/20,"3, 10"
251193,14,50,50,20/20,없음
251206,14,50,50,20/20,없음
251206,19,35,50,15/20,"10, 11, 14, 15, 20"
251207,22,39,50,16/20,"9, 13, 17, 19"
251207,23,31,50,13/20,"4, 13, 14, 16, 17, 18, 20"
251211,18,44,50,18/20,"10, 14"
251211,19,38,50,16/20,"8, 11, 15, 20"
251214,18,48,50,19/20,15
251214,19,47,50,19/20,20
251215,11,50,50,20/20,없음
251215,19,35,50,15/20,"9, 10, 14, 15, 20"
251216,19,41,50,17/20,"9, 10, 20"
251216,26,31,50,13/20,"4, 12, 13, 15, 16, 18, 20"
251217,18,42,50,17/20,"9, 12, 14"
251217,19,41,50,17/20,"11, 14, 20"
251222,11,41,50,17/20,"5, 9, 15"
251222,12,46,50,18/20,"3, 16"
251228,22,48,50,19/20,17
251228,23,47,50,19/20,14
251230,11,50,50,20/20,없음
251230,12,47,50,19/20,7
251232,15,34,50,13/20,"1, 3, 4, 7, 9, 18, 19"
251232,16,44,50,18/20,"7, 9"
251236,18,50,50,20/20,없음
251236,23,42,50,17/20,"13, 14, 16"
251238,17,39,50,16/20,"9, 11, 15, 20"
251238,19,36,50,15/20,"7, 8, 15, 17, 20"
25124,11,50,50,20/20,없음
25124,19,36,50,15/20,"5, 10, 11, 15, 18"
251242,22,44,50,18/20,"16, 19"
251242,23,38,50,16/20,"14, 16, 19, 20"
251244,22,42,50,17/20,"12, 16, 17"
251244,23,41,50,17/20,"4, 14, 19"
251247,13,44,50,18/20,"3, 15"
251247,19,47,50,19/20,9
251248,11,47,50,19/20,20
251248,19,41,50,17/20,"11, 14, 20"
251253,20,36,50,15/20,"11, 12, 16, 17, 18"
251253,23,44,50,18/20,"14, 18"
251259,22,40,50,16/20,"8, 9, 16, 17"
251259,23,50,50,20/20,없음
251261,20,32,50,13/20,"8, 10, 12, 13, 17, 19, 20"
251261,23,48,50,19/20,1
251268,11,42,50,17/20,"5, 15, 18"
251268,19,35,50,15/20,"8, 10, 14, 15, 20"
251269,22,41,50,16/20,"14, 15, 16, 17"
251269,23,35,50,14/20,"3, 13, 16, 17, 19, 20"
251270,11,44,50,18/20,"8, 14"
251270,19,44,50,18/20,"9, 20"
