수험번호,과목코드,총점,만점,정답수,오답번호
251008,1,76,100,35/45,"4, 12, 15, 16, 17, 25, 27, 39, 40, 44"
251009,2,82,100,37/45,"10, 12, 15, 27, 32, 37, 38, 39"
251011,2,85,100,39/45,"8, 15, 17, 24, 28, 38"
251015,1,70,100,32/45,"4, 7, 11, 12, 15, 16, 17, 20, 24, 25, 38, 40, 44"
251021,1,73,100,34/45,"3, 8, 10, 11, 12, 15, 16, 17, 21, 26, 27"
251023,2,77,100,35/45,"4, 8, 11, 12, 14, 16, 17, 26, 36, 39"
251035,1,84,100,38/45,"12, 15, 20, 24, 25, 26, 28"
251046,1,91,100,41/45,"8, 15, 16, 27"
251055,2,72,100,33/45,"2, 3, 5, 8, 15, 16, 17, 22, 25, 27, 36, 45"
251063,1,86,100,39/45,"16, 17, 22, 28, 37, 45"
251071,1,47,100,22/45,"2, 3, 4, 5, 6, 7, 8, 10, 12, 15, 18, 20, 21, 22, 24, 26, 27, 34, 35, 36, 40, 44, 45"
251074,1,76,100,36/45,"8, 12, 17, 21, 24, 25, 28, 29, 40"
251077,1,98,100,44/45,15
251080,2,87,100,40/45,"12, 24, 30, 38, 44"
251107,1,74,100,34/45,"3, 10, 11, 12, 14, 16, 17, 22, 31, 34, 43"
251109,1,67,100,31/45,"5, 7, 8, 10, 11, 12, 14, 15, 16, 17, 20, 21, 24, 25"
251114,1,93,100,42/45,"12, 16, 38"
251119,1,73,100,33/45,"4, 6, 8, 10, 14, 16, 17, 28, 29, 30, 31, 39"
251124,2,70,100,32/45,"11, 12, 14, 15, 16, 17, 21, 23, 27, 33, 38, 39, 45"
251126,2,84,100,38/45,"8, 14, 15, 16, 17, 27, 40"
251145,1,57,100,26/45,"5, 7, 8, 10, 11, 15, 16, 17, 20, 21, 23, 24, 25, 26, 27, 31, 32, 33, 45"
251146,1,79,100,36/45,"10, 11, 12, 15, 23, 26, 29, 30, 40"
251155,1,74,100,35/45,"3, 4, 8, 11, 12, 21, 34, 36, 44, 45"
251175,1,80,100,37/45,"3, 5, 15, 16, 17, 21, 27, 40"
251178,2,87,100,39/45,"16, 18, 20, 21, 39, 40"
251182,1,67,100,32/45,"3, 4, 7, 8, 11, 12, 14, 16, 17, 25, 36, 40, 45"
251184,2,71,100,32/45,"7, 8, 12, 14, 15, 16, 17, 18, 23, 26, 27, 37, 42"
251186,2,79,100,36/45,"8, 12, 14, 15, 16, 17, 28, 31, 37"
251191,1,72,100,33/45,"2, 8, 15, 17, 22, 25, 26, 27, 28, 36, 39, 40"
251193,1,66,100,31/45,"4, 8, 11, 12, 14, 15, 16, 17, 25, 26, 27, 34, 35, 40"
251197,2,81,100,37/45,"11, 12, 15, 17, 24, 25, 35, 39"
251206,1,72,100,33/45,"4, 6, 8, 11, 12, 15, 16, 17, 22, 24, 28, 45"
251207,1,76,100,34/45,"6, 8, 11, 15, 16, 20, 24, 25, 26, 27, 28"
251211,2,87,100,39/45,"11, 15, 16, 17, 22, 36"
251214,2,81,100,37/45,"5, 6, 8, 16, 21, 25, 26, 27"
251215,1,80,100,36/45,"4, 11, 12, 14, 16, 17, 22, 27, 32"
251216,2,83,100,38/45,"8, 11, 27, 34, 35, 38, 39"
251217,2,80,100,36/45,"4, 11, 12, 16, 27, 33, 35, 38, 45"
251222,2,77,100,35/45,"3, 11, 15, 16, 17, 25, 27, 28, 40, 45"
251225,2,82,100,38/45,"7, 8, 12, 15, 16, 17, 34"
251228,1,46,100,22/45,"2, 3, 5, 7, 8, 10, 11, 12, 14, 15, 16, 17, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 40"
251230,2,78,100,36/45,"6, 12, 14, 16, 17, 25, 27, 38, 40"
251232,1,74,100,34/45,"8, 11, 12, 14, 15, 17, 19, 24, 25, 36, 44"
251236,1,73,100,34/45,"8, 12, 15, 16, 17, 22, 24, 25, 27, 28, 45"
251237,2,62,100,29/45,"2, 3, 6, 8, 11, 12, 14, 15, 16, 17, 20, 25, 36, 38, 39, 45"
251238,1,72,100,33/45,"3, 4, 5, 11, 12, 14, 15, 16, 17, 26, 28, 40"
251242,2,77,100,35/45,"8, 15, 21, 22, 24, 27, 31, 33, 34, 40"
251244,1,85,100,39/45,"4, 6, 8, 15, 17, 40"
251247,1,77,100,36/45,"3, 8, 12, 15, 17, 20, 26, 34, 36"
251248,1,67,100,30/45,"4, 6, 10, 11, 15, 16, 17, 27, 29, 30, 31, 32, 33, 34, 36"
251253,2,76,100,35/45,"7, 8, 12, 16, 21, 23, 24, 25, 27, 37"
251259,1,92,100,41/45,"16, 24, 36, 39"
251260,1,64,100,29/45,"5, 7, 8, 10, 11, 15, 16, 17, 21, 24, 27, 31, 32, 40, 43, 44"
251261,1,88,100,40/45,"4, 12, 16, 17, 29"
251263,2,92,100,42/45,"17, 27, 38"
251268,2,62,100,28/45,"4, 5, 6, 8, 10, 14, 16, 17, 20, 21, 24, 27, 28, 35, 38, 39, 40"
251269,1,66,100,30/45,"3, 5, 10, 11, 12, 14, 15, 17, 23, 27, 29, 33, 40, 42, 43"
251270,2,79,100,36/45,"4, 8, 11, 12, 16, 17, 24, 32, 39"
251272,1,65,100,30/45,"4, 6, 7, 8, 11, 12, 16, 17, 19, 22, 28, 30, 33, 37, 40"
251274,1,77,100,35/45,"2, 15, 16, 17, 20, 27, 30, 36, 40, 44"
251276,2,73,100,33/45,"4, 6, 8, 10, 11, 15, 17, 22, 30, 32, 35, 36"
251277,2,88,100,40/45,"12, 15, 25, 35, 40"
251282,1,74,100,34/45,"3, 7, 10, 11, 12, 15, 16, 17, 22, 34, 36"
251283,1,60,100,27/45,"4, 11, 18, 19, 20, 21, 22, 25, 27, 28, 35, 36, 40, 41, 42, 43, 44, 45"
251284,2,81,100,37/45,"4, 5, 6, 7, 12, 17, 34, 40"
251285,2,91,100,41/45,"6, 8, 16, 28"
251286,1,72,100,32/45,"4, 10, 11, 15, 16, 17, 21, 23, 24, 27, 29, 39, 42"
251294,2,75,100,34/45,"6, 11, 12, 15, 17, 25, 27, 29, 35, 36, 40"
251297,1,77,100,35/45,"6, 12, 15, 16, 19, 27, 29, 34, 38, 45"
251305,1,75,100,34/45,"7, 11, 12, 15, 17, 22, 27, 31, 32, 33, 34"
251308,2,88,100,40/45,"12, 16, 17, 22, 42"
251309,1,56,100,26/45,"3, 11, 12, 16, 18, 19, 20, 21, 24, 25, 27, 31, 32, 33, 34, 36, 40, 42, 44"
251311,1,72,100,33/45,"4, 5, 7, 8, 12, 17, 22, 27, 29, 36, 42, 45"
251312,1,64,100,29/45,"4, 6, 8, 10, 11, 12, 14, 16, 17, 22, 23, 24, 25, 26, 27, 37"
251315,2,94,100,42/45,"4, 15, 16"
251320,2,79,100,36/45,"7, 8, 15, 16, 17, 22, 27, 30, 35"
251322,2,83,100,38/45,"8, 11, 12, 16, 25, 35, 39"
251323,1,91,100,41/45,"11, 12, 15, 32"
251324,1,68,100,31/45,"1, 8, 10, 11, 12, 13, 14, 15, 16, 17, 28, 29, 41, 45"
251326,2,84,100,38/45,"15, 17, 24, 27, 29, 32, 38"
251328,1,85,100,38/45,"16, 25, 26, 27, 28, 29, 44"
251335,1,83,100,38/45,"3, 4, 15, 16, 17, 23, 45"
251341,1,49,100,23/45,"2, 4, 8, 12, 14, 15, 16, 17, 21, 22, 24, 25, 27, 28, 31, 32, 34, 35, 37, 42, 44, 45"
251346,1,86,100,39/45,"12, 15, 16, 23, 24, 40"
251352,2,89,100,40/45,"4, 8, 11, 24, 28"
251355,1,53,100,25/45,"2, 3, 4, 5, 10, 12, 15, 16, 17, 21, 22, 24, 25, 26, 28, 29, 30, 43, 44, 45"
251356,2,87,100,40/45,"17, 24, 30, 33, 34"
251361,2,65,100,29/45,"4, 6, 7, 10, 12, 14, 16, 17, 22, 24, 27, 35, 36, 37, 38, 39"
251367,2,95,100,43/45,"24, 34"
251370,2,66,100,31/45,"3, 8, 11, 12, 14, 16, 20, 25, 27, 35, 36, 38, 39, 43"
251381,2,86,100,39/45,"8, 15, 17, 24, 39, 40"
251383,2,88,100,40/45,"6, 7, 8, 16, 17"
251386,2,82,100,38/45,"2, 4, 6, 12, 17, 21, 38"
251390,1,73,100,33/45,"6, 8, 10, 11, 12, 18, 19, 20, 21, 27, 29, 36"
251392,2,90,100,40/45,"7, 14, 16, 31, 32"
251393,1,91,100,41/45,"15, 16, 27, 40"
251394,1,84,100,39/45,"8, 12, 15, 17, 22, 45"
251395,2,93,100,42/45,"5, 15, 38"
251397,1,87,100,39/45,"2, 6, 17, 27, 36, 42"
251398,2,90,100,40/45,"15, 16, 27, 35, 36"
251399,2,87,100,40/45,"12, 20, 21, 25, 27"
251402,1,69,100,32/45,"4, 6, 8, 11, 12, 16, 17, 21, 23, 27, 28, 36, 40"
251404,1,88,100,40/45,"8, 12, 15, 16, 37"
251406,2,87,100,39/45,"2, 4, 13, 17, 27, 35"
251407,1,89,100,41/45,"17, 21, 25, 36"
251408,2,84,100,39/45,"3, 8, 17, 28, 36, 38"
251415,2,81,100,37/45,"10, 11, 12, 15, 16, 17, 25, 26"
251416,2,93,100,42/45,"29, 34, 39"
251419,1,60,100,28/45,"4, 7, 8, 12, 14, 16, 17, 19, 21, 27, 28, 29, 33, 34, 35, 39, 40"
251420,2,96,100,43/45,"2, 37"
251424,1,89,100,41/45,"8, 12, 17, 44"
251427,1,83,100,38/45,"12, 14, 15, 16, 17, 29, 40"
251428,1,80,100,37/45,"6, 8, 14, 16, 17, 32, 40, 45"
251429,1,74,100,34/45,"4, 8, 12, 15, 16, 17, 21, 27, 28, 29, 36"
251430,2,81,100,37/45,"6, 11, 12, 16, 17, 32, 38, 39"
251431,1,69,100,31/45,"3, 4, 6, 7, 8, 11, 15, 16, 17, 20, 27, 37, 39, 44"
251433,2,76,100,34/45,"4, 6, 7, 12, 15, 17, 22, 27, 29, 39, 42"
251441,1,80,100,37/45,"3, 14, 15, 16, 17, 24, 25, 40"
251442,2,76,100,35/45,"12, 15, 17, 23, 25, 28, 34, 39, 40, 42"
251446,2,91,100,41/45,"3, 11, 24, 39"
251447,1,79,100,36/45,"4, 6, 8, 21, 22, 25, 27, 28, 44"
251448,1,84,100,38/45,"11, 16, 24, 25, 29, 36, 45"
251450,1,88,100,40/45,"3, 17, 24, 32, 37"
251452,1,87,100,39/45,"15, 16, 24, 25, 26, 27"
251454,2,80,100,37/45,"3, 4, 8, 12, 15, 16, 17, 22"
251457,2,98,100,44/45,27
251460,1,79,100,36/45,"11, 12, 14, 16, 17, 29, 36, 37, 45"
251465,2,87,100,40/45,"8, 24, 25, 31, 34"
251467,2,91,100,41/45,"35, 37, 38, 39"
251473,2,93,100,42/45,"12, 15, 16"
251475,2,90,100,41/45,"3, 5, 24, 38"
251482,2,64,100,29/45,"6, 8, 11, 14, 16, 17, 20, 24, 27, 28, 32, 33, 35, 36, 38, 43"
251487,1,77,100,35/45,"5, 7, 8, 12, 15, 16, 17, 27, 29, 37"
251491,2,97,100,44/45,38
251500,2,0,100,0/45,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45"
