수험번호,과목코드,총점,만점,정답수,오답번호
251008,1,76,100,24/30,"13, 14, 15, 20, 22, 30"
251009,3,70,100,22/30,"12, 13, 16, 21, 22, 27, 28, 30"
251011,2,74,100,23/30,"14, 18, 20, 22, 24, 29, 30"
251015,1,63,100,20/30,"4, 13, 14, 15, 17, 18, 21, 22, 28, 30"
251021,2,49,100,16/30,"13, 14, 15, 18, 19, 20, 21, 22, 24, 25, 27, 28, 29, 30"
251023,1,58,100,19/30,"9, 12, 14, 19, 20, 21, 22, 26, 28, 29, 30"
251035,2,81,100,25/30,"3, 14, 21, 22, 30"
251046,3,66,100,21/30,"3, 12, 14, 18, 21, 22, 28, 29, 30"
251055,2,77,100,24/30,"12, 20, 22, 25, 28, 29"
251072,3,44,100,15/30,"5, 9, 12, 13, 14, 15, 18, 20, 21, 22, 26, 27, 28, 29, 30"
251074,1,77,100,24/30,"13, 15, 17, 22, 28, 30"
251077,3,80,100,25/30,"13, 15, 20, 21, 22"
251080,1,72,100,23/30,"12, 13, 14, 15, 20, 21, 22"
251100,3,72,100,23/30,"13, 14, 15, 20, 28, 29, 30"
251107,2,70,100,22/30,"14, 15, 18, 20, 21, 25, 29, 30"
251109,2,69,100,22/30,"14, 15, 21, 22, 25, 28, 29, 30"
251114,2,73,100,23/30,"14, 15, 20, 25, 28, 29, 30"
251119,3,88,100,27/30,"12, 21, 22"
251124,2,69,100,22/30,"14, 18, 20, 21, 22, 28, 29, 30"
251145,1,57,100,19/30,"9, 12, 14, 15, 17, 20, 21, 22, 28, 29, 30"
251146,2,55,100,18/30,"3, 13, 14, 15, 20, 21, 22, 25, 27, 28, 29, 30"
251155,1,72,100,23/30,"13, 15, 20, 21, 22, 28, 30"
251175,2,49,100,16/30,"8, 13, 14, 15, 18, 20, 21, 22, 24, 25, 27, 28, 29, 30"
251178,2,59,100,19/30,"3, 13, 14, 15, 18, 21, 22, 25, 28, 29, 30"
251182,1,37,100,12월 30일,"4, 5, 8, 10, 11, 13, 14, 15, 18, 20, 21, 22, 23, 25, 26, 27, 29, 30"
251184,1,85,100,26/30,"13, 18, 20, 21"
251186,1,88,100,27/30,"13, 20, 30"
251191,2,81,100,25/30,"22, 25, 28, 29, 30"
251193,2,80,100,25/30,"15, 21, 22, 28, 30"
251197,2,84,100,26/30,"15, 20, 22, 30"
251206,1,64,100,21/30,"12, 14, 15, 20, 21, 22, 28, 29, 30"
251207,3,72,100,23/30,"13, 15, 20, 21, 22, 28, 30"
251211,2,54,100,18/30,"12, 13, 14, 15, 20, 21, 22, 24, 25, 28, 29, 30"
251214,1,61,100,20/30,"10, 14, 15, 18, 20, 21, 22, 28, 29, 30"
251215,1,68,100,22/30,"12, 13, 14, 15, 21, 22, 29, 30"
251216,2,70,100,22/30,"4, 12, 15, 18, 20, 21, 22, 30"
251217,2,70,100,22/30,"14, 20, 22, 25, 27, 28, 29, 30"
251221,2,88,100,27/30,"28, 29, 30"
251222,1,65,100,21/30,"12, 14, 15, 18, 20, 21, 22, 28, 30"
251225,2,96,100,29/30,13
251228,2,92,100,28/30,"28, 30"
251230,1,64,100,21/30,"12, 13, 15, 20, 21, 22, 28, 29, 30"
251232,1,58,100,19/30,"3, 11, 14, 15, 18, 20, 21, 22, 28, 29, 30"
251236,2,72,100,23/30,"14, 15, 21, 22, 28, 29, 30"
251237,1,65,100,21/30,"10, 12, 18, 20, 21, 22, 28, 29, 30"
251238,2,77,100,24/30,"3, 12, 21, 22, 29, 30"
251242,2,64,100,20/30,"13, 14, 18, 20, 21, 22, 23, 26, 28, 30"
251244,2,75,100,23/30,"5, 14, 18, 19, 22, 28, 30"
251247,2,92,100,28/30,"20, 30"
251248,1,64,100,21/30,"11, 13, 14, 15, 20, 21, 22, 29, 30"
251253,2,69,100,22/30,"12, 14, 15, 19, 22, 28, 29, 30"
251259,2,80,100,25/30,"9, 13, 22, 28, 30"
251260,3,55,100,18/30,"9, 10, 15, 19, 20, 21, 22, 26, 27, 28, 29, 30"
251261,2,73,100,23/30,"20, 21, 22, 25, 28, 29, 30"
