수험번호,과목코드,총점,만점,정답수,오답번호
250456.0,1.0,95,100,43/45,"37, 38"
251008.0,1.0,78,100,36/45,"24, 29, 34, 35, 36, 37, 38, 39, 40"
251009.0,1.0,76,100,35/45,"23, 24, 30, 31, 32, 33, 34, 36, 37, 38"
251011.0,1.0,90,100,41/45,"23, 24, 39, 44"
251015.0,1.0,89,100,41/45,"21, 33, 35, 39"
251023.0,1.0,94,100,43/45,"21, 37"
251035.0,1.0,98,100,44/45,40
251046.0,1.0,88,100,40/45,"31, 32, 36, 37, 39"
251055.0,1.0,81,100,37/45,"21, 23, 27, 34, 36, 38, 40, 41"
251072.0,1.0,77,100,36/45,"21, 29, 31, 32, 33, 34, 36, 39, 40"
251074.0,1.0,75,100,35/45,"29, 30, 31, 32, 33, 34, 36, 37, 39, 40"
251077.0,1.0,80,100,37/45,"5, 33, 34, 36, 37, 39, 40, 43"
251080.0,1.0,80,100,37/45,"31, 32, 33, 34, 35, 37, 39, 41"
251100.0,1.0,84,100,39/45,"3, 21, 31, 33, 34, 39"
251107.0,1.0,70,100,33/45,"11, 21, 29, 31, 32, 33, 34, 36, 37, 38, 40, 41"
251109.0,1.0,75,100,35/45,"21, 23, 24, 29, 31, 33, 36, 37, 38, 40"
251114.0,1.0,92,100,42/45,"23, 39, 40"
251119.0,1.0,72,100,33/45,"5, 6, 7, 12, 21, 31, 32, 33, 34, 35, 37, 38"
251124.0,1.0,78,100,36/45,"1, 5, 23, 29, 31, 33, 35, 37, 38"
251145.0,1.0,0,100,0/45,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45"
251146.0,1.0,88,100,40/45,"17, 21, 32, 37, 41"
251152.0,1.0,82,100,38/45,"29, 30, 31, 32, 33, 34, 37"
251155.0,1.0,74,100,34/45,"1, 5, 23, 31, 32, 33, 36, 37, 38, 39, 40"
251175.0,1.0,71,100,34/45,"11, 21, 23, 31, 32, 33, 34, 36, 37, 38, 39"
251178.0,1.0,88,100,40/45,"31, 34, 35, 36, 39"
251182.0,1.0,71,100,33/45,"5, 21, 24, 30, 32, 33, 34, 35, 36, 37, 39, 40"
251184.0,1.0,81,100,38/45,"5, 21, 23, 31, 33, 37, 39"
251186.0,1.0,87,100,40/45,"16, 21, 32, 33, 34"
251191.0,1.0,73,100,34/45,"5, 21, 23, 26, 31, 34, 35, 36, 37, 39, 41"
251193.0,1.0,89,100,41/45,"21, 33, 37, 38"
251197.0,1.0,90,100,41/45,"6, 12, 34, 39"
251206.0,1.0,85,100,39/45,"24, 29, 33, 36, 37, 40"
251207.0,1.0,87,100,40/45,"21, 34, 36, 37, 38"
251211.0,1.0,75,100,35/45,"6, 21, 23, 30, 31, 33, 35, 36, 37, 39"
251214.0,1.0,77,100,36/45,"21, 31, 32, 33, 34, 37, 39, 40, 42"
251215.0,1.0,86,100,39/45,"5, 24, 33, 39, 40, 41"
251216.0,1.0,81,100,38/45,"5, 23, 33, 34, 37, 38, 39"
251217.0,1.0,83,100,38/45,"21, 24, 31, 32, 35, 37, 39"
251222.0,1.0,74,100,34/45,"6, 21, 24, 29, 30, 32, 33, 35, 38, 39, 40"
251225.0,1.0,87,100,40/45,"21, 31, 32, 33, 39"
251228.0,1.0,95,100,43/45,"34, 42"
251230.0,1.0,81,100,37/45,"7, 29, 31, 32, 34, 36, 37, 38"
251232.0,1.0,84,100,39/45,"21, 23, 31, 33, 36, 37"
251236.0,1.0,73,100,34/45,"21, 23, 24, 30, 32, 33, 34, 36, 38, 39, 41"
251238.0,1.0,58,100,28/45,"14, 18, 21, 23, 29, 30, 31, 32, 33, 34, 35, 37, 38, 39, 40, 44, 45"
251242.0,1.0,77,100,36/45,"23, 31, 32, 33, 34, 36, 37, 39, 41"
251244.0,1.0,95,100,43/45,"36, 37"
251247.0,1.0,72,100,33/45,"1, 21, 29, 31, 32, 33, 34, 35, 36, 40, 41, 42"
251248.0,1.0,71,100,33/45,"6, 23, 29, 32, 33, 34, 35, 36, 37, 38, 40, 41"
251253.0,1.0,77,100,36/45,"6, 21, 23, 24, 31, 33, 34, 36, 39"
251259.0,1.0,76,100,35/45,"5, 6, 21, 29, 31, 32, 34, 35, 36, 39"
251261.0,1.0,86,100,40/45,"23, 34, 36, 37, 39"
251263.0,1.0,61,100,29/45,"9, 10, 11, 12, 14, 15, 24, 29, 31, 32, 33, 34, 35, 36, 37, 38"
251268.0,1.0,52,100,23/45,"5, 6, 11, 12, 17, 21, 24, 25, 26, 27, 30, 31, 33, 35, 37, 38, 40, 41, 42, 43, 44, 45"
251269.0,1.0,84,100,38/45,"5, 23, 31, 34, 36, 41, 42"
251270.0,1.0,61,100,28/45,"1, 5, 21, 23, 24, 32, 33, 34, 36, 37, 38, 40, 41, 42, 43, 44, 45"
251272.0,1.0,66,100,31/45,"1, 14, 20, 21, 23, 30, 31, 32, 33, 34, 36, 37, 38, 41"
251274.0,1.0,78,100,36/45,"23, 29, 31, 32, 33, 35, 38, 39, 41"
251277.0,1.0,87,100,40/45,"5, 21, 34, 35, 39"
251282.0,1.0,79,100,37/45,"1, 20, 21, 29, 30, 33, 37, 39"
251283.0,1.0,63,100,29/45,"7, 9, 23, 24, 28, 29, 31, 32, 34, 37, 38, 39, 40, 41, 42, 44"
251284.0,1.0,84,100,39/45,"21, 24, 29, 33, 37, 40"
251285.0,1.0,85,100,39/45,"29, 31, 33, 37, 38, 42"
251286.0,1.0,63,100,30/45,"1, 11, 21, 22, 23, 29, 32, 33, 34, 35, 36, 38, 39, 40, 41"
251294.0,1.0,78,100,36/45,"5, 12, 20, 21, 33, 36, 37, 38, 39"
251297.0,1.0,64,100,30/45,"6, 11, 13, 21, 22, 23, 24, 31, 32, 33, 34, 35, 36, 37, 38"
251305.0,1.0,84,100,39/45,"12, 21, 29, 32, 33, 34"
251308.0,1.0,85,100,40/45,"21, 23, 33, 37, 39"
251309.0,1.0,68,100,31/45,"1, 5, 21, 23, 26, 29, 32, 34, 35, 36, 38, 40, 41, 42"
251311.0,1.0,70,100,33/45,"2, 21, 22, 29, 31, 32, 33, 34, 36, 37, 39, 40"
251312.0,1.0,71,100,33/45,"21, 23, 31, 32, 34, 35, 36, 37, 38, 39, 40, 41"
251315.0,1.0,78,100,37/45,"21, 23, 29, 33, 35, 36, 37, 39"
251321.0,1.0,92,100,42/45,"13, 34, 39"
251322.0,1.0,75,100,35/45,"5, 23, 29, 31, 32, 34, 35, 37, 39, 40"
251323.0,1.0,72,100,34/45,"5, 21, 23, 29, 30, 31, 32, 33, 34, 36, 39"
251324.0,1.0,77,100,36/45,"11, 29, 31, 33, 34, 36, 37, 40, 42"
251326.0,1.0,86,100,40/45,"21, 23, 31, 34, 37"
251328.0,1.0,80,100,37/45,"5, 29, 31, 34, 35, 37, 38, 39"
251335.0,1.0,87,100,40/45,"33, 37, 39, 40, 42"
251341.0,1.0,63,100,29/45,"1, 6, 12, 21, 24, 26, 29, 31, 32, 33, 35, 36, 37, 39, 41, 42"
251346.0,1.0,82,100,38/45,"21, 30, 34, 36, 37, 38, 39"
251352.0,1.0,72,100,33/45,"18, 19, 20, 21, 31, 32, 33, 34, 35, 37, 38, 42"
251355.0,1.0,66,100,30/45,"6, 19, 21, 24, 29, 31, 32, 34, 35, 36, 38, 39, 40, 41, 42"
251356.0,1.0,78,100,36/45,"5, 6, 23, 31, 33, 34, 39, 40, 42"
251361.0,1.0,73,100,34/45,"5, 16, 21, 23, 30, 31, 32, 33, 34, 39, 40"
251367.0,1.0,74,100,35/45,"5, 21, 23, 29, 32, 33, 34, 36, 37, 40"
251370.0,1.0,73,100,33/45,"6, 12, 24, 29, 30, 31, 32, 34, 36, 37, 38, 41"
251381.0,1.0,74,100,35/45,"21, 23, 29, 31, 33, 34, 36, 38, 39, 44"
251383.0,1.0,87,100,40/45,"21, 23, 34, 36, 42"
251386.0,1.0,77,100,36/45,"21, 23, 24, 31, 33, 34, 35, 38, 39"
251390.0,1.0,80,100,37/45,"21, 24, 29, 32, 35, 36, 37, 39"
251392.0,1.0,87,100,40/45,"23, 31, 34, 35, 39"
251393.0,1.0,90,100,41/45,"12, 34, 36, 37"
251394.0,1.0,72,100,34/45,"21, 23, 28, 31, 33, 34, 36, 37, 39, 40, 44"
251395.0,1.0,79,100,37/45,"21, 31, 33, 34, 36, 37, 39, 40"
251397.0,1.0,74,100,35/45,"21, 23, 29, 32, 33, 34, 36, 39, 40, 41"
251398.0,1.0,94,100,43/45,"34, 39"
251399.0,1.0,81,100,38/45,"21, 29, 33, 34, 36, 37, 40"
251402.0,1.0,83,100,38/45,"23, 30, 31, 33, 35, 36, 37"
251404.0,1.0,88,100,41/45,"21, 29, 33, 34"
251406.0,1.0,94,100,43/45,"21, 39"
251407.0,1.0,84,100,39/45,"21, 32, 33, 37, 39, 41"
251408.0,1.0,73,100,34/45,"6, 23, 24, 29, 32, 33, 34, 36, 38, 39, 40"
251415.0,1.0,91,100,42/45,"34, 37, 39"
251416.0,1.0,83,100,38/45,"31, 33, 34, 38, 39, 40, 44"
251419.0,1.0,80,100,37/45,"7, 21, 31, 32, 33, 34, 37, 38"
251420.0,1.0,94,100,43/45,"34, 37"
251424.0,1.0,97,100,44/45,39
251427.0,1.0,78,100,35/45,"5, 31, 33, 35, 36, 37, 38, 40, 41, 43"
251428.0,1.0,75,100,35/45,"5, 21, 23, 31, 32, 33, 34, 37, 38, 42"
251429.0,1.0,77,100,36/45,"6, 23, 29, 32, 33, 34, 35, 38, 39"
251430.0,1.0,77,100,35/45,"9, 10, 11, 12, 24, 32, 36, 37, 39, 41"
251431.0,1.0,75,100,35/45,"23, 24, 29, 31, 33, 35, 37, 38, 39, 41"
251441.0,1.0,77,100,36/45,"21, 29, 30, 31, 33, 37, 38, 39, 40"
251442.0,1.0,76,100,36/45,"21, 29, 32, 33, 34, 36, 37, 39, 41"
251446.0,1.0,97,100,44/45,39
251447.0,1.0,69,100,33/45,"21, 23, 29, 30, 31, 32, 33, 34, 37, 38, 39, 42"
