수험번호,과목코드,총점,만점,정답수,오답번호
2024001,11,50,50,20/20,없음
2024001,20,50,50,20/20,없음
2024002,12,49,50,19/20,12
2024002,21,49,50,19/20,18
2024003,13,48,50,19/20,8
2024003,22,48,50,19/20,12
2024004,14,47,50,18/20,"5, 15"
2024004,23,47,50,18/20,"8, 15"
2024005,15,46,50,18/20,"8, 12"
2024005,20,46,50,18/20,"5, 18"
2024006,16,45,50,18/20,"3, 12"
2024006,21,45,50,18/20,"8, 12"
2024007,17,44,50,17/20,"8, 12, 15"
2024007,22,44,50,17/20,"8, 12, 18"
2024008,18,43,50,17/20,"5, 8, 15"
2024008,23,43,50,17/20,"5, 12, 15"
2024009,19,42,50,16/20,"3, 8, 12, 15"
2024009,24,42,50,16/20,"3, 8, 12, 18"
2024010,11,40,50,16/20,"5, 8, 12, 15"
2024010,25,40,50,16/20,"5, 8, 12, 15"
2024011,12,39,50,15/20,"3, 5, 8, 12, 15"
2024011,26,39,50,15/20,"3, 5, 8, 12, 18"
2024012,13,37,50,15/20,"5, 8, 10, 12, 15"
2024012,27,37,50,15/20,"5, 8, 10, 12, 15"
2024013,14,36,50,14/20,"3, 5, 8, 10, 12, 15"
2024013,20,36,50,14/20,"3, 5, 8, 10, 12, 18"
2024014,17,34,50,13/20,"3, 5, 8, 10, 12, 14, 15"
2024014,21,34,50,13/20,"3, 5, 8, 10, 12, 15, 18"
2024015,18,32,50,12/20,"3, 5, 8, 10, 12, 14, 15, 18"
2024015,22,32,50,12/20,"3, 5, 8, 10, 12, 15, 17, 18"

