수험번호,과목코드,총점,만점,정답수,오답번호
2024001,1,100,100,45/45,없음
2024002,1,98,100,44/45,30
2024003,1,97,100,43/45,"21, 36"
2024004,1,96,100,43/45,38
2024005,1,95,100,42/45,"12, 30, 36"
2024006,1,94,100,42/45,"8, 21, 38"
2024007,1,93,100,42/45,"3, 21, 30"
2024008,1,91,100,41/45,"5, 19, 30, 36"
2024009,1,90,100,41/45,"8, 12, 21, 38"
2024010,1,89,100,40/45,"3, 12, 19, 30, 36"
2024011,1,87,100,39/45,"5, 8, 12, 21, 30, 38"
2024012,1,85,100,38/45,"3, 8, 12, 19, 21, 30, 36"
2024013,1,82,100,37/45,"5, 8, 12, 19, 21, 30, 36, 38"
2024014,1,80,100,36/45,"3, 5, 8, 12, 19, 21, 30, 36, 38"
2024015,1,78,100,35/45,"3, 5, 8, 12, 15, 19, 21, 30, 36, 38"
