수험번호,과목코드,총점,만점,정답수,오답번호
2024001,1,50,50,20/20,없음
2024002,1,48,50,19/20,15
2024003,1,46,50,18/20,"8, 15"
2024004,1,45,50,18/20,"3, 15"
2024005,1,44,50,17/20,"8, 12, 15"
2024006,1,42,50,17/20,"3, 8, 15"
2024007,1,41,50,16/20,"5, 8, 12, 15"
2024008,1,40,50,16/20,"3, 8, 12, 15"
2024009,1,38,50,15/20,"3, 5, 8, 12, 15"
2024010,1,36,50,14/20,"3, 5, 8, 10, 12, 15"
2024011,1,35,50,14/20,"5, 8, 10, 12, 15, 18"
2024012,1,33,50,13/20,"3, 5, 8, 10, 12, 15, 18"
2024013,1,31,50,12/20,"3, 5, 8, 10, 12, 14, 15, 18"
2024014,1,30,50,12/20,"5, 8, 10, 12, 14, 15, 17, 18"
2024015,1,28,50,11/20,"3, 5, 8, 10, 12, 14, 15, 17, 18"
