수험번호,과목코드,총점,만점,정답수,오답번호
2024001,2,100,100,45/45,없음
2024002,2,97,100,44/45,29
2024003,1,95,100,43/45,"24, 29"
2024004,2,95,100,43/45,"12, 19"
2024005,2,95,100,43/45,"5, 29"
2024006,2,94,100,43/45,"13, 26"
2024007,1,93,100,42/45,"16, 17, 23"
2024008,2,93,100,42/45,"3, 29, 30"
2024009,2,93,100,42/45,"11, 19, 36"
2024010,1,91,100,41/45,"5, 24, 29, 34"
2024011,2,91,100,41/45,"5, 19, 29, 36"
2024012,2,90,100,41/45,"3, 4, 11, 29"
2024013,1,89,100,40/45,"13, 17, 21, 29, 30"
2024014,2,88,100,40/45,"3, 11, 29, 30, 36"
2024015,2,87,100,39/45,"3, 11, 19, 29, 30, 36"
