수험번호,과목코드,총점,만점,정답수,오답번호
2024001,1,100,100,30/30,없음
2024002,2,96,100,28/30,"20, 30"
2024003,1,92,100,27/30,"15, 22, 29"
2024004,3,89,100,26/30,"11, 14, 20, 29"
2024005,1,85,100,25/30,"3, 15, 16, 22, 29"
2024006,2,82,100,24/30,"13, 14, 20, 21, 29, 30"
2024007,1,79,100,24/30,"3, 15, 16, 18, 22, 29"
2024008,3,76,100,23/30,"11, 14, 15, 20, 21, 29, 30"
2024009,1,70,100,22/30,"6, 13, 14, 18, 20, 21, 22, 29"
2024010,2,67,100,21/30,"3, 6, 14, 15, 16, 21, 22, 29, 30"
2024011,1,63,100,20/30,"2, 8, 11, 14, 15, 20, 21, 22, 29, 30"
2024012,1,56,100,18/30,"3, 11, 12, 14, 18, 20, 21, 22, 23, 28, 29, 30"
2024013,3,52,100,17/30,"11, 12, 14, 15, 18, 20, 21, 22, 24, 28, 29, 30"
2024014,1,49,100,16/30,"11, 12, 14, 16, 18, 19, 20, 21, 22, 26, 27, 28, 29, 30"
2024015,2,45,100,15/30,"3, 7, 11, 13, 14, 15, 18, 20, 21, 22, 24, 28, 29, 30"
